Year,Rank,Team,Player,College,Years,Minutes,MPG,WS,WS48,BPM,VORP
2005,1,MIL,Andrew Bogut,Utah,14,19862,28.1,50.6,.122,1.2,16.0
2005,2,ATL,Marvin Williams,UNC,15,30159,28.1,65.1,.104,-0.4,12.3
2005,3,UTA,Deron Williams,Illinois,12,28865,34.2,77.3,.129,1.9,28.3
2005,4,NOH,Chris Paul,Wake Forest,16,37757,34.6,189.5,.241,7.4,89.7
2005,5,CHA,Raymond Felton,UNC,14,28829,29.7,40.2,.067,-0.6,10.1
2005,6,POR,Martell Webster,,10,13914,24.0,24.7,.085,-0.8,4.3
2005,7,TOR,Charlie Villanueva,UConn,11,13578,20.7,22.6,.080,-0.6,4.7
2005,8,NYK,Channing Frye,Arizona,13,19772,22.2,38.9,.094,-0.4,8.0
2005,9,GSW,Ike Diogu,Arizona State,6,2795,12.4,6.5,.112,-3.0,-0.7
2005,10,LAL,Andrew Bynum,,8,10690,25.6,37.4,.168,1.4,9.1
2005,11,ORL,Fran Vázquez,,,,,,,,
2005,12,LAC,Yaroslav Korolev,,2,168,4.9,-0.1,-.024,-5.2,-0.1
2005,13,CHA,Sean May,UNC,4,1868,15.7,2.6,.068,-1.7,0.2
2005,14,MIN,Rashad McCants,UNC,4,5037,20.2,3.6,.035,-1.7,0.4
2005,15,NJN,Antoine Wright,Texas A&amp;M,6,5714,19.2,3.1,.026,-3.7,-2.4
2005,16,TOR,Joey Graham,Oklahoma State,6,6117,16.2,7.8,.061,-3.6,-2.4
2005,17,IND,Danny Granger,New Mexico,10,18487,31.5,48.5,.126,1.8,17.7
2005,18,BOS,Gerald Green,,12,13026,19.8,18.4,.068,-1.3,2.4
2005,19,MEM,Hakim Warrick,Syracuse,8,10624,20.2,20.4,.092,-1.9,0.4
2005,20,DEN,Julius Hodge,NC State,2,98,4.3,0.0,.003,-3.7,0.0
2005,21,PHO,Nate Robinson,Washington,11,13878,22.5,27.8,.096,0.5,8.6
2005,22,DEN,Jarrett Jack,Georgia Tech,13,24140,27.8,36.8,.073,-0.9,6.5
2005,23,SAC,Francisco García,Louisville,10,11853,21.6,18.2,.074,-0.1,5.7
2005,24,HOU,Luther Head,Illinois,6,7797,22.4,14.7,.090,0.1,4.2
2005,25,SEA,Johan Petro,,8,7262,15.4,5.5,.037,-4.6,-4.6
2005,26,DET,Jason Maxiell,Cincinnati,10,11379,18.4,20.3,.086,-2.5,-1.4
2005,27,POR,Linas Kleiza,Missouri,7,8185,20.0,13.6,.080,-2.3,-0.7
2005,28,SAS,Ian Mahinmi,,12,10353,16.8,26.1,.121,-2.0,0.1
2005,29,MIA,Wayne Simien,Kansas,2,507,9.9,0.9,.083,-4.4,-0.3
2005,30,NYK,David Lee,Florida,12,24293,29.3,76.0,.150,1.1,19.2
2005,31,ATL,Salim Stoudamire,Arizona,3,2672,17.0,2.2,.040,-2.9,-0.6
2005,32,LAC,Daniel Ewing,Duke,2,1683,13.3,0.8,.024,-3.0,-0.4
2005,33,NOH,Brandon Bass,LSU,12,16410,21.6,42.8,.125,-0.8,5.1
2005,34,UTA,C.J. Miles,,15,17282,20.4,30.1,.084,-0.4,6.9
2005,35,POR,Ricky Sánchez,,,,,,,,
2005,36,MIL,Ersan İlyasova,,13,18957,23.0,48.8,.124,-0.1,9.0
2005,37,LAL,Ronny Turiaf,Gonzaga,10,8020,17.0,19.2,.115,0.3,4.7
2005,38,ORL,Travis Diener,Marquette,5,2660,14.9,5.6,.102,-0.4,1.1
2005,39,LAL,Von Wafer,Florida State,6,2475,12.4,3.3,.064,-1.8,0.1
2005,40,GSW,Monta Ellis,,12,29011,34.8,41.9,.069,-0.3,12.4
2005,41,TOR,Roko Ukić,,2,987,11.6,-0.2,-.007,-4.3,-0.6
2005,42,GSW,Chris Taft,Pitt,1,144,8.5,0.5,.155,-0.7,0.0
2005,43,NJN,Mile Ilić,,1,6,1.2,-0.2,-1.264,-52.0,-0.1
2005,44,ORL,Martynas Andriuškevičius,,1,9,1.5,0.0,.155,5.2,0.0
2005,45,PHI,Lou Williams,,16,26305,24.7,65.2,.119,1.5,23.3
2005,46,IND,Erazem Lorbek,,,,,,,,
2005,47,MIN,Bracey Wright,Indiana,2,325,12.5,0.5,.068,-1.6,0.0
2005,48,SEA,Mickaël Gelabale,,3,2348,16.2,3.0,.062,-2.1,0.0
2005,49,WAS,Andray Blatche,,9,12462,22.1,19.2,.074,-0.8,3.8
2005,50,BOS,Ryan Gomes,Providence,8,13463,27.6,19.4,.069,-1.6,1.4
2005,51,UTA,Robert Whaley,Walsh University,1,212,9.2,0.0,.004,-5.1,-0.2
2005,52,DEN,Axel Hervelle,,,,,,,,
2005,53,BOS,Orien Greene,Louisiana,4,1555,11.9,-0.7,-.022,-4.6,-1.0
